date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,t-1,t-2,t-3,t-7,t-14,rolling_mean_3,rolling_std_3,rolling_max_3,rolling_min_3,rolling_mean_7,rolling_std_7,rolling_max_7,rolling_min_7,rolling_mean_14,rolling_std_14,rolling_max_14,rolling_min_14,rolling_mean_30,rolling_std_30,rolling_max_30,rolling_min_30,diff_1,diff_7,month_sin,month_cos,weekday_sin,weekday_cos,day_of_year_sin,day_of_year_cos,is_weekend,is_dry_season,target_reg_tomorrow,target_class_tomorrow
2025-03-22,43.2375,40.204166666666666,716.9166666666666,30.791666666666668,10.808333333333332,100.04166666666669,0.6,3.625,1.6104166666666666,130.33333333333334,123.66666666666669,108.08333333333331,92.375,58.875,74.33333333333333,108.0416666666667,15.645874944462864,123.66666666666669,92.375,88.30952380952381,23.419692088352335,123.66666666666669,58.875,78.38095238095238,20.347323746345342,123.66666666666669,52.29166666666666,72.74444444444445,17.43801533979885,123.66666666666669,52.29166666666666,6.666666666666657,71.45833333333334,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.9844738167520922,0.1755314904214282,1,1,103.83333333333331,2
2025-03-23,33.583333333333336,30.14583333333333,693.5416666666666,26.2875,9.583333333333334,100.58333333333331,0.6887500000000001,3.583333333333333,1.6375,103.83333333333331,130.33333333333334,123.66666666666669,108.08333333333331,62.91666666666666,82.29166666666667,120.69444444444447,11.418896781375059,130.33333333333334,108.08333333333331,98.51785714285714,24.01746154352531,130.33333333333334,62.91666666666666,82.38095238095238,24.558945188399193,130.33333333333334,52.29166666666666,73.67499999999998,19.677142641367798,130.33333333333334,52.29166666666666,-26.50000000000003,40.91666666666666,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.9873494423939864,0.15855938510313478,1,1,115.875,2
2025-03-24,32.858333333333334,29.27916666666667,595.4583333333334,23.058333333333334,9.529166666666669,118.95833333333331,0.6004166666666667,2.625,2.222916666666667,115.875,103.83333333333331,130.33333333333334,123.66666666666669,78.625,75.5,119.27777777777781,13.784384616632444,130.33333333333334,103.83333333333331,104.36309523809526,18.178158226507605,130.33333333333334,78.625,83.91964285714286,25.218878723952304,130.33333333333334,52.29166666666666,74.50277777777777,20.41730275027587,130.33333333333334,52.29166666666666,12.041666666666686,37.25,1.0,6.123233995736766e-17,0.0,1.0,0.989932495087353,0.141540295217043,0,1,88.29166666666667,1
2025-03-25,26.066666666666663,21.679166666666664,515.125,20.29583333333333,8.041666666666666,104.625,0.6120833333333334,1.8333333333333333,1.75,88.29166666666667,115.875,103.83333333333331,130.33333333333334,93.625,71.70833333333333,116.68055555555559,13.26835294280373,130.33333333333334,103.83333333333331,109.68452380952382,14.459851368092018,130.33333333333334,92.375,86.80357142857143,26.459998577575234,130.33333333333334,52.29166666666666,75.4375,21.65311730961932,130.33333333333334,52.29166666666666,-27.58333333333333,-5.333333333333329,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.9922222094179323,0.12447926388678915,0,1,74.20833333333333,1
2025-03-26,29.35,23.9875,627.9166666666666,24.6875,8.854166666666666,83.79166666666667,0.47875,2.958333333333333,2.125,74.20833333333333,88.29166666666667,115.875,103.83333333333331,92.375,67.33333333333333,102.66666666666669,13.828626207175104,115.875,88.29166666666667,108.92261904761905,15.546737863650655,130.33333333333334,88.29166666666667,87.98809523809523,26.101008943864162,130.33333333333334,52.29166666666666,75.94166666666665,21.774165792907176,130.33333333333334,52.29166666666666,-14.083333333333343,-18.16666666666667,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.994217906893952,0.10738134666416309,0,1,76.0,1
2025-03-27,28.433333333333334,23.504166666666663,588.7916666666666,24.941666666666663,8.924999999999999,72.83333333333333,0.3329166666666667,3.7083333333333335,2.829166666666667,76.0,74.20833333333333,88.29166666666667,115.875,108.08333333333331,52.29166666666666,92.7916666666667,21.19469928491013,115.875,74.20833333333333,106.32738095238096,19.724424200795323,130.33333333333334,74.20833333333333,88.47916666666667,25.7447548284155,130.33333333333334,52.29166666666666,76.65,21.342068972945757,130.33333333333334,52.29166666666666,1.7916666666666714,-32.083333333333314,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.995918996147179,0.09025161003104117,0,1,77.20833333333333,1
2025-03-28,27.254166666666663,23.7625,533.125,28.60833333333333,10.625,61.91666666666666,0.21125,1.8333333333333333,3.06875,77.20833333333333,76.0,74.20833333333333,88.29166666666667,123.66666666666669,55.708333333333336,79.50000000000003,7.666326985228073,88.29166666666667,74.20833333333333,101.7440476190476,22.7447265531781,130.33333333333334,74.20833333333333,90.17261904761904,23.89455478071329,130.33333333333334,55.708333333333336,77.14027777777777,21.145119483826747,130.33333333333334,52.29166666666666,1.2083333333333286,-46.45833333333336,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.9973249731081555,0.07309512989807777,0,1,64.91666666666667,1
2025-03-29,16.275000000000002,14.1125,479.6666666666667,20.79583333333333,7.383333333333333,55.958333333333336,0.2191666666666666,0.3333333333333333,2.3229166666666665,64.91666666666667,77.20833333333333,76.0,74.20833333333333,130.33333333333334,58.875,75.80555555555559,1.5094225655769686,77.20833333333333,74.20833333333333,95.10714285714286,22.04917244004891,130.33333333333334,74.20833333333333,91.70833333333334,22.135273943733182,130.33333333333334,58.875,77.40277777777779,21.093678840757804,130.33333333333334,52.29166666666666,-12.291666666666657,-65.41666666666667,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.9984354211555643,0.055916990100603484,1,1,52.458333333333336,1
2025-03-30,21.091666666666665,19.525,434.375,23.804166666666664,8.075000000000001,58.333333333333336,0.3083333333333333,0.0,2.3770833333333337,52.458333333333336,64.91666666666667,77.20833333333333,76.0,103.83333333333331,62.91666666666666,72.70833333333336,6.774774493991355,77.20833333333333,64.91666666666667,85.76190476190474,18.14865497078728,115.875,64.91666666666667,92.13988095238096,21.495568311538783,130.33333333333334,62.91666666666666,77.25555555555555,21.16722591049299,130.33333333333334,52.29166666666666,-12.458333333333336,-51.37499999999998,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.9992500112396835,0.03872228089217446,1,1,104.58333333333331,2
2025-03-31,48.5,46.81666666666666,649.4583333333334,46.325,17.741666666666667,62.458333333333336,0.5575,0.0,1.7979166666666666,104.58333333333331,52.458333333333336,64.91666666666667,77.20833333333333,115.875,78.625,64.86111111111114,12.375093527517526,77.20833333333333,52.458333333333336,78.42261904761905,19.923761355085404,115.875,52.458333333333336,91.39285714285714,22.7352476018295,130.33333333333334,52.458333333333336,76.83888888888889,21.537428809378017,130.33333333333334,52.29166666666666,52.12499999999998,-11.291666666666686,1.0,6.123233995736766e-17,0.0,1.0,0.9997685019798909,0.021516097436222254,0,1,106.29166666666669,2
