date,target_reg_tomorrow,target_class_tomorrow
2023-04-30,60.375,1
2023-05-01,55.91666666666666,1
2023-05-02,52.125,1
2023-05-03,51.125,1
2023-05-04,66.625,1
2023-05-05,100.79166666666669,2
2023-05-06,81.75,1
2023-05-07,87.54166666666667,1
2023-05-08,97.58333333333331,1
2023-05-09,83.70833333333333,1
2023-05-10,63.79166666666666,1
2023-05-11,63.79166666666666,1
2023-05-12,74.0,1
2023-05-13,60.958333333333336,1
2023-05-14,61.04166666666666,1
2023-05-15,84.625,1
2023-05-16,107.375,2
2023-05-17,95.375,1
2023-05-18,78.16666666666667,1
2023-05-19,80.08333333333333,1
2023-05-20,80.04166666666667,1
2023-05-21,73.20833333333333,1
2023-05-22,73.75,1
2023-05-23,83.45833333333333,1
2023-05-24,83.33333333333333,1
2023-05-25,81.29166666666667,1
2023-05-26,86.83333333333333,1
2023-05-27,90.95833333333331,1
2023-05-28,79.83333333333333,1
2023-05-29,80.20833333333333,1
2023-05-30,69.66666666666667,1
2023-05-31,67.20833333333333,1
2023-06-01,70.91666666666667,1
2023-06-02,80.41666666666667,1
2023-06-03,75.625,1
2023-06-04,71.83333333333333,1
2023-06-05,74.08333333333333,1
2023-06-06,70.70833333333333,1
2023-06-07,69.375,1
2023-06-08,80.20833333333333,1
2023-06-09,81.875,1
2023-06-10,64.5,1
2023-06-11,63.625,1
2023-06-12,79.125,1
2023-06-13,88.41666666666667,1
2023-06-14,82.83333333333333,1
2023-06-15,91.75,1
2023-06-16,92.375,1
2023-06-17,83.91666666666667,1
2023-06-18,76.70833333333333,1
2023-06-19,100.83333333333331,2
2023-06-20,104.95833333333331,2
2023-06-21,96.29166666666669,1
2023-06-22,89.375,1
2023-06-23,117.75,2
2023-06-24,115.66666666666669,2
2023-06-25,110.125,2
2023-06-26,117.16666666666669,2
2023-06-27,115.29166666666669,2
2023-06-28,75.625,1
2023-06-29,69.83333333333333,1
2023-06-30,64.625,1
2023-07-01,65.29166666666667,1
2023-07-02,74.41666666666667,1
2023-07-03,85.20833333333333,1
2023-07-04,92.66666666666669,1
2023-07-05,69.33333333333333,1
2023-07-06,96.0,1
2023-07-07,66.54166666666667,1
2023-07-08,53.41666666666666,1
2023-07-09,73.33333333333333,1
2023-07-10,84.58333333333333,1
2023-07-11,85.125,1
2023-07-12,83.875,1
2023-07-13,86.45833333333333,1
2023-07-14,77.66666666666667,1
2023-07-15,67.91666666666667,1
2023-07-16,51.16666666666666,1
2023-07-17,40.25,0
2023-07-18,45.79166666666666,0
2023-07-19,51.625,1
2023-07-20,60.25,1
2023-07-21,62.208333333333336,1
2023-07-22,61.75,1
2023-07-23,61.5,1
2023-07-24,62.79166666666666,1
2023-07-25,61.54166666666666,1
2023-07-26,58.16666666666666,1
2023-07-27,47.958333333333336,0
2023-07-28,51.0,1
2023-07-29,58.29166666666666,1
2023-07-30,66.29166666666667,1
2023-07-31,70.20833333333333,1
2023-08-01,64.875,1
2023-08-02,63.79166666666666,1
2023-08-03,62.16666666666666,1
2023-08-04,75.25,1
2023-08-05,71.08333333333333,1
2023-08-06,65.66666666666667,1
2023-08-07,65.20833333333333,1
2023-08-08,59.04166666666666,1
2023-08-09,60.41666666666666,1
2023-08-10,58.25,1
2023-08-11,61.958333333333336,1
2023-08-12,67.5,1
2023-08-13,57.66666666666666,1
2023-08-14,58.79166666666666,1
2023-08-15,65.58333333333333,1
